year,solar_radiation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,total_precipitation
Mar-19,14.5,0.1,4.5,75,42,154.5,35.5
Apr-19,17.6,5.2,4.7,72,57,229.2,11
May-19,22.7,12.6,5.3,74,57,263,48
Jun-19,15.8,13.3,5,86,30,139.2,48.5
Jul-19,13.4,18,3.8,89,27,128.3,88
Aug-19,15.9,18.3,5.1,88,23,101.8,163.5
Sep-19,13.2,18.1,4.3,73,56,208.9,36.5
Oct-19,9.3,12.4,4.8,69,44,149.5,55
Nov-19,8.8,2.6,5.2,65,15,42.9,69
Dec-19,6.8,-2.4,4.9,70,9,24.6,91.5
